PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21047622","Looking on the bright side of serotonin transporter gene variation","Homberg JR, Lesch KP.","Biol Psychiatry. 2011 Mar 15;69(6):513-9. doi: 10.1016/j.biopsych.2010.09.024. Epub 2010 Nov 2.","Homberg JR","Biol Psychiatry","2011","2010/11/05","","","10.1016/j.biopsych.2010.09.024"
"21648199","Combination of aripiprazole and ethanol attenuates marble-burying behavior in mice","Gaikwad U, Parle M.","Acta Pol Pharm. 2011 May-Jun;68(3):435-40.","Gaikwad U","Acta Pol Pharm","2011","2011/06/09","","",""
"21262270","Away game or home match: the influence of venue and serotonin transporter genotype on the display of offensive aggression","Jansen F, Heiming RS, Kloke V, Kaiser S, Palme R, Lesch KP, Sachser N.","Behav Brain Res. 2011 Jun 1;219(2):291-301. doi: 10.1016/j.bbr.2011.01.029. Epub 2011 Jan 22.","Jansen F","Behav Brain Res","2011","2011/01/26","","","10.1016/j.bbr.2011.01.029"
"21852989","Epigenetic changes of serotonin transporter in the patients with alcohol dependence: methylation of an serotonin transporter promoter CpG island","Park BY, Lee BC, Jung KH, Jung MH, Park BL, Chai YG, Choi IG.","Psychiatry Investig. 2011 Jun;8(2):130-3. doi: 10.4306/pi.2011.8.2.130. Epub 2010 Oct 25.","Park BY","Psychiatry Investig","2011","2011/08/20","PMC3149107","","10.4306/pi.2011.8.2.130"
"21484882","Serotonergic neurotransmission in the living human brain: a positron emission tomography study using [¹¹C]dasb and [¹¹C]WAY100635 in young healthy men","Takano H, Ito H, Takahashi H, Arakawa R, Okumura M, Kodaka F, Otsuka T, Kato M, Suhara T.","Synapse. 2011 Jul;65(7):624-33. doi: 10.1002/syn.20883. Epub 2011 Jan 12.","Takano H","Synapse","2011","2011/04/13","","","10.1002/syn.20883"
"21704153","Altered expression of neuronal tryptophan hydroxylase-2 mRNA in the dorsal and median raphe nuclei of three genetically modified mouse models relevant to depression and anxiety","Jahanshahi A, Le Maitre E, Temel Y, Lanfumey L, Hamon M, Lesch KP, Tordera RM, Del Río J, Aso E, Maldonado R, Hökfelt T, Steinbusch HW.","J Chem Neuroanat. 2011 Jul;41(4):227-33. doi: 10.1016/j.jchemneu.2011.05.015. Epub 2011 Jun 15.","Jahanshahi A","J Chem Neuroanat","2011","2011/06/28","","","10.1016/j.jchemneu.2011.05.015"
"21129431","Animal models of depression and anxiety: What do they tell us about human condition?","Neumann ID, Wegener G, Homberg JR, Cohen H, Slattery DA, Zohar J, Olivier JD, Mathé AA.","Prog Neuropsychopharmacol Biol Psychiatry. 2011 Aug 1;35(6):1357-75. doi: 10.1016/j.pnpbp.2010.11.028. Epub 2010 Dec 1.","Neumann ID","Prog Neuropsychopharmacol Biol Psychiatry","2011","2010/12/07","","","10.1016/j.pnpbp.2010.11.028"
"21606840","A mixed polyunsaturated fatty acid diet normalizes hippocampal neurogenesis and reduces anxiety in serotonin transporter knockout rats","Schipper P, Kiliaan AJ, Homberg JR.","Behav Pharmacol. 2011 Aug;22(4):324-34. doi: 10.1097/FBP.0b013e328347881b.","Schipper P","Behav Pharmacol","2011","2011/05/25","","","10.1097/FBP.0b013e328347881b"
"21549766","Serotonin transporter genotype x construction stress interaction in rats","Schipper P, Nonkes LJ, Karel P, Kiliaan AJ, Homberg JR.","Behav Brain Res. 2011 Sep 30;223(1):169-75. doi: 10.1016/j.bbr.2011.04.037. Epub 2011 Apr 27.","Schipper P","Behav Brain Res","2011","2011/05/10","","","10.1016/j.bbr.2011.04.037"
"21723276","5-HT(1A) receptor sensitivity in 5-HT(1B) receptor KO mice is unaffected by chronic fluvoxamine treatment","Vinkers CH, Groenink L, Pattij T, Olivier B, Bouwknecht JA.","Eur J Pharmacol. 2011 Sep 30;667(1-3):250-7. doi: 10.1016/j.ejphar.2011.06.018. Epub 2011 Jun 25.","Vinkers CH","Eur J Pharmacol","2011","2011/07/05","","","10.1016/j.ejphar.2011.06.018"
"22014438","Serotonin receptor 3A polymorphism c.-42C > T is associated with severe dyspepsia","Mujakovic S, ter Linde JJ, de Wit NJ, van Marrewijk CJ, Fransen GA, Onland-Moret NC, Laheij RJ, Muris JW, Grobbee DE, Samsom M, Jansen JB, Knottnerus A, Numans ME.","BMC Med Genet. 2011 Oct 20;12:140. doi: 10.1186/1471-2350-12-140.","Mujakovic S","BMC Med Genet","2011","2011/10/22","PMC3213216","","10.1186/1471-2350-12-140"
"22049417","Chronic 5-HT transporter blockade reduces DA signaling to elicit basal ganglia dysfunction","Morelli E, Moore H, Rebello TJ, Gray N, Steele K, Esposito E, Gingrich JA, Ansorge MS.","J Neurosci. 2011 Nov 2;31(44):15742-50. doi: 10.1523/JNEUROSCI.2989-11.2011.","Morelli E","J Neurosci","2011","2011/11/04","PMC3758550","","10.1523/JNEUROSCI.2989-11.2011"
"21855859","Reduced amygdala serotonin transporter binding in posttraumatic stress disorder","Murrough JW, Huang Y, Hu J, Henry S, Williams W, Gallezot JD, Bailey CR, Krystal JH, Carson RE, Neumeister A.","Biol Psychiatry. 2011 Dec 1;70(11):1033-8. doi: 10.1016/j.biopsych.2011.07.003.","Murrough JW","Biol Psychiatry","2011","2011/08/23","PMC3207037","NIHMS312371","10.1016/j.biopsych.2011.07.003"
"21681867","Serotonin transporter gene and childhood trauma--a G × E effect on anxiety sensitivity","Klauke B, Deckert J, Reif A, Pauli P, Zwanzger P, Baumann C, Arolt V, Glöckner-Rist A, Domschke K.","Depress Anxiety. 2011 Dec 21;28(12):1048-57. doi: 10.1002/da.20840. Epub 2011 Jun 16.","Klauke B","Depress Anxiety","2011","2011/06/18","","","10.1002/da.20840"
"21740920","Stress-induced activation of the brainstem Bcl-xL gene expression in rats treated with fluoxetine: correlations with serotonin metabolism and depressive-like behavior","Shishkina GT, Kalinina TS, Berezova IV, Dygalo NN.","Neuropharmacology. 2012 Jan;62(1):177-83. doi: 10.1016/j.neuropharm.2011.06.016. Epub 2011 Jun 29.","Shishkina GT","Neuropharmacology","2012","2011/07/12","","","10.1016/j.neuropharm.2011.06.016"
"21864549","Establishing a learned-helplessness effect paradigm in C57BL/6 mice: behavioural evidence for emotional, motivational and cognitive effects of aversive uncontrollability per se","Pryce CR, Azzinnari D, Sigrist H, Gschwind T, Lesch KP, Seifritz E.","Neuropharmacology. 2012 Jan;62(1):358-72. doi: 10.1016/j.neuropharm.2011.08.012. Epub 2011 Aug 16.","Pryce CR","Neuropharmacology","2012","2011/08/26","","","10.1016/j.neuropharm.2011.08.012"
"22018958","The impact of adverse life events and the serotonin transporter gene promoter polymorphism on the development of eating disorder symptoms","Akkermann K, Kaasik K, Kiive E, Nordquist N, Oreland L, Harro J.","J Psychiatr Res. 2012 Jan;46(1):38-43. doi: 10.1016/j.jpsychires.2011.09.013. Epub 2011 Oct 22.","Akkermann K","J Psychiatr Res","2012","2011/10/25","","","10.1016/j.jpsychires.2011.09.013"
"22681166","Genetics and personalized medicine in antidepressant treatment","Gvozdic K, Brandl EJ, Taylor DL, Müller DJ.","Curr Pharm Des. 2012;18(36):5853-78. doi: 10.2174/138161212803523617.","Gvozdic K","Curr Pharm Des","2012","2012/06/12","","","10.2174/138161212803523617"
"22911682","Serotonin transporter gene (SLC6A4) variations are associated with poor survival in colorectal cancer patients","Savas S, Hyde A, Stuckless SN, Parfrey P, Younghusband HB, Green R.","PLoS One. 2012;7(7):e38953. doi: 10.1371/journal.pone.0038953. Epub 2012 Jul 24.","Savas S","PLoS One","2012","2012/08/23","PMC3404081","","10.1371/journal.pone.0038953"
"23112822","Clinical pharmacology of 3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy""): the influence of gender and genetics (CYP2D6, COMT, 5-HTT)","Pardo-Lozano R, Farré M, Yubero-Lahoz S, O'Mathúna B, Torrens M, Mustata C, Pérez-Mañá C, Langohr K, Cuyàs E, Carbó Ml, de la Torre R.","PLoS One. 2012;7(10):e47599. doi: 10.1371/journal.pone.0047599. Epub 2012 Oct 24.","Pardo-Lozano R","PLoS One","2012","2012/11/01","PMC3480420","","10.1371/journal.pone.0047599"
"23226060","Association of the 5-HTT gene-linked promoter region (5-HTTLPR) polymorphism with psychiatric disorders: review of psychopathology and pharmacotherapy","Kenna GA, Roder-Hanna N, Leggio L, Zywiak WH, Clifford J, Edwards S, Kenna JA, Shoaff J, Swift RM.","Pharmgenomics Pers Med. 2012;5:19-35. doi: 10.2147/PGPM.S23462. Epub 2012 Jan 13.","Kenna GA","Pharmgenomics Pers Med","2012","2012/12/11","PMC3513226","","10.2147/PGPM.S23462"
"21994088","Genetic determinants of aggression and impulsivity in humans","Pavlov KA, Chistiakov DA, Chekhonin VP.","J Appl Genet. 2012 Feb;53(1):61-82. doi: 10.1007/s13353-011-0069-6. Epub 2011 Oct 13.","Pavlov KA","J Appl Genet","2012","2011/10/14","","","10.1007/s13353-011-0069-6"
"22218074","Neuroimaging markers of cellular function in major depressive disorder: implications for therapeutics, personalized medicine, and prevention","Meyer JH.","Clin Pharmacol Ther. 2012 Feb;91(2):201-14. doi: 10.1038/clpt.2011.285. Epub 2012 Jan 4.","Meyer JH","Clin Pharmacol Ther","2012","2012/01/06","","","10.1038/clpt.2011.285"
"22222329","Serotonin gene polymorphisms and psychiatry comorbidities in temporal lobe epilepsy","Schenkel LC, Bragatti JA, Becker JA, Torres CM, Martin KC, de Souza AC, Manfro GG, Leistner-Segal S, Bianchin MM.","Epilepsy Res. 2012 May;99(3):260-6. doi: 10.1016/j.eplepsyres.2011.12.005. Epub 2012 Jan 4.","Schenkel LC","Epilepsy Res","2012","2012/01/07","","","10.1016/j.eplepsyres.2011.12.005"
"22888631","[Implication of 5-HT2A receptors in the genetic mechanisms of the brain 5-HT system autoregulation]","Naumenko VS, Tsybko AS, Bazovkina DV, Popova NK.","Mol Biol (Mosk). 2012 May-Jun;46(3):416-22.","Naumenko VS","Mol Biol (Mosk)","2012","2012/08/15","","",""
"22124413","Polymorphisms in the serotonin transporter gene of patients with atopic dermatitis-association with personality traits related to high level of anxiety","de Mel S, Nordlind K, Holst M, Frohm-Nilsson M, Lonne-Rahm SB.","Immunopharmacol Immunotoxicol. 2012 Jun;34(3):534-8. doi: 10.3109/08923973.2011.632636. Epub 2011 Nov 29.","de Mel S","Immunopharmacol Immunotoxicol","2012","2011/11/30","","","10.3109/08923973.2011.632636"
"22692335","Symptoms at postmenopause: genetic and psychosocial factors","Aguilar-Zavala H, Pérez-Luque EL, Luna-Martínez F, Bassol-Mayagoitia S, Canto-de-Cetina T, López-Conesa M, Malacara JM.","Menopause. 2012 Oct;19(10):1140-5. doi: 10.1097/gme.0b013e3182503bde.","Aguilar-Zavala H","Menopause","2012","2012/06/14","","","10.1097/gme.0b013e3182503bde"
"22789740","Normative database of the serotonergic system in healthy subjects using multi-tracer PET","Savli M, Bauer A, Mitterhauser M, Ding YS, Hahn A, Kroll T, Neumeister A, Haeusler D, Ungersboeck J, Henry S, Isfahani SA, Rattay F, Wadsak W, Kasper S, Lanzenberger R.","Neuroimage. 2012 Oct 15;63(1):447-59. doi: 10.1016/j.neuroimage.2012.07.001. Epub 2012 Jul 10.","Savli M","Neuroimage","2012","2012/07/14","","","10.1016/j.neuroimage.2012.07.001"
"22833283","Monomorphic region of the serotonin transporter promoter gene in New World monkeys","Pascale E, Lucarelli M, Passarelli F, Butler RH, Tamellini A, Addessi E, Visalberghi E, Manciocco A, Vitale A, Laviola G.","Am J Primatol. 2012 Nov;74(11):1028-34. doi: 10.1002/ajp.22056. Epub 2012 Jul 25.","Pascale E","Am J Primatol","2012","2012/07/27","","","10.1002/ajp.22056"
"23018753","Neurochemical imaging and depressive behaviours","Meyer JH.","Curr Top Behav Neurosci. 2013;14:101-34. doi: 10.1007/7854_2012_219.","Meyer JH","Curr Top Behav Neurosci","2013","2012/09/29","","","10.1007/7854_2012_219"
"23099177","Long-term cognitive and neurochemical effects of ""bath salt"" designer drugs methylone and mephedrone","den Hollander B, Rozov S, Linden AM, Uusi-Oukari M, Ojanperä I, Korpi ER.","Pharmacol Biochem Behav. 2013 Jan;103(3):501-9. doi: 10.1016/j.pbb.2012.10.006. Epub 2012 Oct 22.","den Hollander B","Pharmacol Biochem Behav","2013","2012/10/27","","","10.1016/j.pbb.2012.10.006"
"23341873","Influence of serotonin transporter gene polymorphism (5-HTTLPR polymorphism) on the relation between brain 5-HT transporter binding and heart rate corrected cardiac repolarization interval","Kauppila E, Vanninen E, Kaurijoki S, Karhunen L, Pietiläinen KH, Rissanen A, Tiihonen J, Pesonen U, Kaprio J.","PLoS One. 2013;8(1):e50303. doi: 10.1371/journal.pone.0050303. Epub 2013 Jan 14.","Kauppila E","PLoS One","2013","2013/01/24","PMC3544835","","10.1371/journal.pone.0050303"
"23451267","Functional and structural neural network characterization of serotonin transporter knockout rats","van der Marel K, Homberg JR, Otte WM, Dijkhuizen RM.","PLoS One. 2013;8(2):e57780. doi: 10.1371/journal.pone.0057780. Epub 2013 Feb 25.","van der Marel K","PLoS One","2013","2013/03/02","PMC3581479","","10.1371/journal.pone.0057780"
"23635830","Serotonergic genes (5-HTT and HTR1A) and separation life events: gene-by-environment interaction for panic disorder","Choe AY, Kim B, Lee KS, Lee JE, Lee JY, Choi TK, Lee SH.","Neuropsychobiology. 2013;67(4):192-200. doi: 10.1159/000347084. Epub 2013 Apr 27.","Choe AY","Neuropsychobiology","2013","2013/05/03","","","10.1159/000347084"
"25225016","Genetic factors in anxiety disorders","Domschke K, Maron E.","Mod Trends Pharmacopsychiatry. 2013;29:24-46. doi: 10.1159/000351932. Epub 2013 Sep 20.","Domschke K","Mod Trends Pharmacopsychiatry","2013","2014/09/17","","","10.1159/000351932"
"23547810","Serotonin (5-HT) in the regulation of depression-related emotionality: insight from 5-HT transporter and tryptophan hydroxylase-2 knockout mouse models","Araragi N, Lesch KP.","Curr Drug Targets. 2013 May 1;14(5):549-70. doi: 10.2174/1389450111314050005.","Araragi N","Curr Drug Targets","2013","2013/04/04","","","10.2174/1389450111314050005"
"25069243","[Childhood stress and depression]","Onoue T, Toda H, Nakai Y.","Nihon Shinkei Seishin Yakurigaku Zasshi. 2013 Jun;33(3):105-10.","Onoue T","Nihon Shinkei Seishin Yakurigaku Zasshi","2013","2014/07/30","","",""
"23781201","The role of the serotonergic and GABA system in translational approaches in drug discovery for anxiety disorders","Olivier JD, Vinkers CH, Olivier B.","Front Pharmacol. 2013 Jun 11;4:74. doi: 10.3389/fphar.2013.00074. eCollection 2013.","Olivier JD","Front Pharmacol","2013","2013/06/20","PMC3677985","","10.3389/fphar.2013.00074"
"23567893","Unexpected effects of early-life adversity and social enrichment on the anxiety profile of mice varying in serotonin transporter genotype","Kloke V, Heiming RS, Bölting S, Kaiser S, Lewejohann L, Lesch KP, Sachser N.","Behav Brain Res. 2013 Jun 15;247:248-58. doi: 10.1016/j.bbr.2013.03.039. Epub 2013 Apr 6.","Kloke V","Behav Brain Res","2013","2013/04/10","","","10.1016/j.bbr.2013.03.039"
"23428337","5-HTT and 5-HT(1A) receptor occupancy of the novel substance vortioxetine (Lu AA21004). A PET study in control subjects","Stenkrona P, Halldin C, Lundberg J.","Eur Neuropsychopharmacol. 2013 Oct;23(10):1190-8. doi: 10.1016/j.euroneuro.2013.01.002. Epub 2013 Feb 18.","Stenkrona P","Eur Neuropsychopharmacol","2013","2013/02/23","","","10.1016/j.euroneuro.2013.01.002"
"23684859","The tricks of the trait: neural implementation of personality varies with genotype-dependent serotonin levels","Hahn T, Heinzel S, Notebaert K, Dresler T, Reif A, Lesch KP, Jakob PM, Windmann S, Fallgatter AJ.","Neuroimage. 2013 Nov 1;81:393-399. doi: 10.1016/j.neuroimage.2013.05.037. Epub 2013 May 16.","Hahn T","Neuroimage","2013","2013/05/21","","","10.1016/j.neuroimage.2013.05.037"
"23953022","Working conditions, serotonin transporter gene polymorphism (5-HTTLPR) and anxiety disorders: a prospective cohort study","Liu B, Lavebratt C, Nordqvist T, Fandiño-Losada A, Theorell T, Forsell Y, Lundberg I.","J Affect Disord. 2013 Nov;151(2):652-659. doi: 10.1016/j.jad.2013.07.013. Epub 2013 Aug 13.","Liu B","J Affect Disord","2013","2013/08/20","","","10.1016/j.jad.2013.07.013"
"24100022","Convergent effects of mouse Pet-1 deletion and human PET-1 variation on amygdala fear and threat processing","Wellman CL, Camp M, Jones VM, MacPherson KP, Ihne J, Fitzgerald P, Maroun M, Drabant E, Bogdan R, Hariri AR, Holmes A.","Exp Neurol. 2013 Dec;250:260-9. doi: 10.1016/j.expneurol.2013.09.025. Epub 2013 Oct 4.","Wellman CL","Exp Neurol","2013","2013/10/09","PMC3932627","NIHMS530976","10.1016/j.expneurol.2013.09.025"
"24427124","Effects of repeated adolescent stress and serotonin transporter gene partial knockout in mice on behaviors and brain structures relevant to major depression","Spinelli S, Müller T, Friedel M, Sigrist H, Lesch KP, Henkelman M, Rudin M, Seifritz E, Pryce CR.","Front Behav Neurosci. 2013 Dec 31;7:215. doi: 10.3389/fnbeh.2013.00215. eCollection 2013.","Spinelli S","Front Behav Neurosci","2013","2014/01/16","PMC3876674","","10.3389/fnbeh.2013.00215"
"25195605","Differential effects of prenatal stress in female 5-HTT-deficient mice: towards molecular mechanisms of resilience","Jakob S, Schraut KG, Schmitt AG, Scholz CJ, Ortega G, Steinbusch HW, Lesch KP, van den Hove DL.","Dev Neurosci. 2014;36(6):454-64. doi: 10.1159/000363695. Epub 2014 Sep 4.","Jakob S","Dev Neurosci","2014","2014/09/09","","","10.1159/000363695"
"24269496","The attribution of incentive salience to an appetitive conditioned cue is not affected by knockout of the serotonin transporter in rats","Nonkes LJ, van de Vondervoort II, Homberg JR.","Behav Brain Res. 2014 Feb 1;259:268-73. doi: 10.1016/j.bbr.2013.11.017. Epub 2013 Nov 20.","Nonkes LJ","Behav Brain Res","2014","2013/11/26","","","10.1016/j.bbr.2013.11.017"
"24411530","DNA hypermethylation of serotonin transporter gene promoter in drug naïve patients with schizophrenia","Abdolmaleky HM, Nohesara S, Ghadirivasfi M, Lambert AW, Ahmadkhaniha H, Ozturk S, Wong CK, Shafa R, Mostafavi A, Thiagalingam S.","Schizophr Res. 2014 Feb;152(2-3):373-80. doi: 10.1016/j.schres.2013.12.007. Epub 2014 Jan 8.","Abdolmaleky HM","Schizophr Res","2014","2014/01/14","PMC7863587","NIHMS1663396","10.1016/j.schres.2013.12.007"
"24658187","Impaired fear extinction as displayed by serotonin transporter knockout rats housed in open cages is disrupted by IVC cage housing","Shan L, Schipper P, Nonkes LJ, Homberg JR.","PLoS One. 2014 Mar 21;9(3):e91472. doi: 10.1371/journal.pone.0091472. eCollection 2014.","Shan L","PLoS One","2014","2014/03/25","PMC3962352","","10.1371/journal.pone.0091472"
"24760870","Mice with compromised 5-HTT function lack phosphotyrosine-mediated inhibitory control over prefrontal 5-HT responses","Goodfellow NM, Sargin D, Ansorge MS, Gingrich JA, Lambe EK.","J Neurosci. 2014 Apr 23;34(17):6107-11. doi: 10.1523/JNEUROSCI.3762-13.2014.","Goodfellow NM","J Neurosci","2014","2014/04/25","PMC3996227","","10.1523/JNEUROSCI.3762-13.2014"
"24631644","Controversies on the role of 5-HT(2C) receptors in the mechanisms of action of antidepressant drugs","Martin CB, Hamon M, Lanfumey L, Mongeau R.","Neurosci Biobehav Rev. 2014 May;42:208-23. doi: 10.1016/j.neubiorev.2014.03.001. Epub 2014 Mar 11.","Martin CB","Neurosci Biobehav Rev","2014","2014/03/18","","","10.1016/j.neubiorev.2014.03.001"
"23479192","Interaction between 5-HTTLPR polymorphism and abuse history on adolescent African-American females' condom use behavior following participation in an HIV prevention intervention","Sales JM, DiClemente RJ, Brody GH, Philibert RA, Rose E.","Prev Sci. 2014 Jun;15(3):257-67. doi: 10.1007/s11121-013-0378-6.","Sales JM","Prev Sci","2014","2013/03/13","PMC3769489","NIHMS454937","10.1007/s11121-013-0378-6"
"24120093","Variation in serotonin transporter expression modulates fear-evoked hemodynamic responses and theta-frequency neuronal oscillations in the amygdala","Barkus C, Line SJ, Huber A, Capitao L, Lima J, Jennings K, Lowry J, Sharp T, Bannerman DM, McHugh SB.","Biol Psychiatry. 2014 Jun 1;75(11):901-8. doi: 10.1016/j.biopsych.2013.09.003. Epub 2013 Oct 8.","Barkus C","Biol Psychiatry","2014","2013/10/15","PMC4032572","","10.1016/j.biopsych.2013.09.003"
"24589889","Dopamine and serotonin signaling during two sensitive developmental periods differentially impact adult aggressive and affective behaviors in mice","Yu Q, Teixeira CM, Mahadevia D, Huang Y, Balsam D, Mann JJ, Gingrich JA, Ansorge MS.","Mol Psychiatry. 2014 Jun;19(6):688-98. doi: 10.1038/mp.2014.10. Epub 2014 Mar 4.","Yu Q","Mol Psychiatry","2014","2014/03/05","PMC4311886","NIHMS559756","10.1038/mp.2014.10"
"25137069","Hope for the best or prepare for the worst? Towards a spatial cognitive bias test for mice","Kloke V, Schreiber RS, Bodden C, Möllers J, Ruhmann H, Kaiser S, Lesch KP, Sachser N, Lewejohann L.","PLoS One. 2014 Aug 19;9(8):e105431. doi: 10.1371/journal.pone.0105431. eCollection 2014.","Kloke V","PLoS One","2014","2014/08/20","PMC4138164","","10.1371/journal.pone.0105431"
"25209278","Postnatal day 2 to 11 constitutes a 5-HT-sensitive period impacting adult mPFC function","Rebello TJ, Yu Q, Goodfellow NM, Caffrey Cagliostro MK, Teissier A, Morelli E, Demireva EY, Chemiakine A, Rosoklija GB, Dwork AJ, Lambe EK, Gingrich JA, Ansorge MS.","J Neurosci. 2014 Sep 10;34(37):12379-93. doi: 10.1523/JNEUROSCI.1020-13.2014.","Rebello TJ","J Neurosci","2014","2014/09/12","PMC4160773","","10.1523/JNEUROSCI.1020-13.2014"
"25335169","Prenatal stress-induced programming of genome-wide promoter DNA methylation in 5-HTT-deficient mice","Schraut KG, Jakob SB, Weidner MT, Schmitt AG, Scholz CJ, Strekalova T, El Hajj N, Eijssen LM, Domschke K, Reif A, Haaf T, Ortega G, Steinbusch HW, Lesch KP, Van den Hove DL.","Transl Psychiatry. 2014 Oct 21;4(10):e473. doi: 10.1038/tp.2014.107.","Schraut KG","Transl Psychiatry","2014","2014/10/22","PMC4350514","","10.1038/tp.2014.107"
"25522398","5-HT2C receptor desensitization moderates anxiety in 5-HTT deficient mice: from behavioral to cellular evidence","Martin CB, Martin VS, Trigo JM, Chevarin C, Maldonado R, Fink LH, Cunningham KA, Hamon M, Lanfumey L, Mongeau R.","Int J Neuropsychopharmacol. 2014 Oct 31;18(3):pyu056. doi: 10.1093/ijnp/pyu056.","Martin CB","Int J Neuropsychopharmacol","2014","2014/12/19","PMC4360241","","10.1093/ijnp/pyu056"
"24810870","The impact of 5-HTTLPR on acute serotonin transporter blockade by escitalopram on emotion processing: preliminary findings from a randomised, crossover fMRI study","Outhred T, Das P, Dobson-Stone C, Felmingham KL, Bryant RA, Nathan PJ, Malhi GS, Kemp AH.","Aust N Z J Psychiatry. 2014 Dec;48(12):1115-25. doi: 10.1177/0004867414533837. Epub 2014 May 8.","Outhred T","Aust N Z J Psychiatry","2014","2014/05/10","","","10.1177/0004867414533837"
"25283165","Reduced sensitivity to both positive and negative reinforcement in mice over-expressing the 5-hydroxytryptamine transporter","Line SJ, Barkus C, Rawlings N, Jennings K, McHugh S, Sharp T, Bannerman DM.","Eur J Neurosci. 2014 Dec;40(12):3735-45. doi: 10.1111/ejn.12744. Epub 2014 Oct 4.","Line SJ","Eur J Neurosci","2014","2014/10/07","PMC4737229","","10.1111/ejn.12744"
"24690524","The utility of zebrafish to study the mechanisms by which ethanol affects social behavior and anxiety during early brain development","Parker MO, Annan LV, Kanellopoulos AH, Brock AJ, Combe FJ, Baiamonte M, Teh MT, Brennan CH.","Prog Neuropsychopharmacol Biol Psychiatry. 2014 Dec 3;55:94-100. doi: 10.1016/j.pnpbp.2014.03.011. Epub 2014 Mar 30.","Parker MO","Prog Neuropsychopharmacol Biol Psychiatry","2014","2014/04/03","PMC4186787","EMS59771","10.1016/j.pnpbp.2014.03.011"
"25547397","Evaluation of the relationship between 5-HTT and MAO gene polymorphisms, mood and level of anxiety among postmenopausal women","Grochans E, Jurczak A, Szkup M, Samochowiec A, Włoszczak-Szubzda A, Karakiewicz B, Grzywacz A, Brodowska A, Samochowiec J.","Int J Environ Res Public Health. 2014 Dec 24;12(1):268-81. doi: 10.3390/ijerph120100268.","Grochans E","Int J Environ Res Public Health","2014","2014/12/31","PMC4306861","","10.3390/ijerph120100268"
"25223844","Therapygenetics: anterior cingulate cortex-amygdala coupling is associated with 5-HTTLPR and treatment response in panic disorder with agoraphobia","Lueken U, Straube B, Wittchen HU, Konrad C, Ströhle A, Wittmann A, Pfleiderer B, Arolt V, Kircher T, Deckert J, Reif A.","J Neural Transm (Vienna). 2015 Jan;122(1):135-44. doi: 10.1007/s00702-014-1311-2. Epub 2014 Sep 16.","Lueken U","J Neural Transm (Vienna)","2015","2014/09/17","","","10.1007/s00702-014-1311-2"
"25640835","Early life adversity and serotonin transporter gene variation interact to affect DNA methylation of the corticotropin-releasing factor gene promoter region in the adult rat brain","van der Doelen RH, Arnoldussen IA, Ghareh H, van Och L, Homberg JR, Kozicz T.","Dev Psychopathol. 2015 Feb;27(1):123-35. doi: 10.1017/S0954579414001345.","van der Doelen RH","Dev Psychopathol","2015","2015/02/03","","","10.1017/S0954579414001345"
"25784864","Benefits of adversity?! How life history affects the behavioral profile of mice varying in serotonin transporter genotype","Bodden C, Richter SH, Schreiber RS, Kloke V, Gerß J, Palme R, Lesch KP, Lewejohann L, Kaiser S, Sachser N.","Front Behav Neurosci. 2015 Mar 3;9:47. doi: 10.3389/fnbeh.2015.00047. eCollection 2015.","Bodden C","Front Behav Neurosci","2015","2015/03/19","PMC4347490","","10.3389/fnbeh.2015.00047"
"25629942","Benefits of a ""vulnerability gene""? A study in serotonin transporter knockout mice","Kästner N, Richter SH, Lesch KP, Schreiber RS, Kaiser S, Sachser N.","Behav Brain Res. 2015 Apr 15;283:116-20. doi: 10.1016/j.bbr.2015.01.031. Epub 2015 Jan 25.","Kästner N","Behav Brain Res","2015","2015/01/29","","","10.1016/j.bbr.2015.01.031"
"25745133","Allelic variation in 5-HTTLPR and the effects of citalopram on the emotional neural network","Ma Y, Li B, Wang C, Zhang W, Rao Y, Han S.","Br J Psychiatry. 2015 May;206(5):385-92. doi: 10.1192/bjp.bp.114.150128. Epub 2015 Mar 5.","Ma Y","Br J Psychiatry","2015","2015/03/07","","","10.1192/bjp.bp.114.150128"
"25957993","Interactive effects of citalopram and serotonin transporter genotype on neural correlates of response inhibition and attentional orienting","Fischer AG, Endrass T, Goebel I, Reuter M, Montag C, Kubisch C, Ullsperger M.","Neuroimage. 2015 Aug 1;116:59-67. doi: 10.1016/j.neuroimage.2015.04.064. Epub 2015 May 6.","Fischer AG","Neuroimage","2015","2015/05/11","","","10.1016/j.neuroimage.2015.04.064"
"25963733","Functional connectivity of the dorsal and median raphe nuclei at rest","Beliveau V, Svarer C, Frokjaer VG, Knudsen GM, Greve DN, Fisher PM.","Neuroimage. 2015 Aug 1;116:187-95. doi: 10.1016/j.neuroimage.2015.04.065. Epub 2015 May 9.","Beliveau V","Neuroimage","2015","2015/05/13","PMC4468016","NIHMS689270","10.1016/j.neuroimage.2015.04.065"
"26205629","Evaluation of psychiatric and genetic risk factors among primary relatives of suicide completers in Delhi NCR region, India","Pasi S, Singh PK, Pandey RK, Dikshit PC, Jiloha RC, Rao VR.","Psychiatry Res. 2015 Oct 30;229(3):933-9. doi: 10.1016/j.psychres.2015.07.015. Epub 2015 Jul 10.","Pasi S","Psychiatry Res","2015","2015/07/25","","","10.1016/j.psychres.2015.07.015"
